,full,no moment1,no moment2,no D1,no D2,no deg,no fea mean,no fea var,no clu glo,no D1 cov,no D2 cov,no Y0,no dist,no logdegsum,no feacov
lambda_f_bias,0.038816969,-0.02657975,0.14648651,0.022931879,0.019027817,0.010635261,0.017634497,-0.001019662,0.017950708,0.023384831,0.041335401,0.013967057,0.017270217,0.055478224,0.029083982
lambda_f_rmse,0.201931483,0.217432021,0.328823808,0.2218165,0.251099188,0.191518371,0.203338325,0.187252447,0.215898863,0.190592799,0.196283888,0.19308948,0.198272592,0.200766093,0.22155829
lambda_f_real_pred,-2.694267988,-2.17559123,-3,-2.450150728,-2.408495426,-2,-2.43224597,-2.30505991,-2,-2.386036873,-2,-2.097130775,-2.505402565,-2.838606834,-3
alpha_f_bias,0.107169461,-0.082696524,0.166411686,0.11803017,-0.163596948,0.008671423,0.115985375,0.119577429,0.178116719,0.146121376,0.287371086,-0.033719391,0.253347971,0.144146986,0.097675417
alpha_f_rmse,0.542315026,0.560273627,1.964005874,0.539768099,1.416321823,0.510794685,0.539031787,0.561706599,0.599358256,0.567009757,0.81393188,0.903688411,0.784159704,0.609625597,0.522033949
alpha_f_real_pred,6.434723854,8.849308014,5.720421314,6.454172611,12,8.783654213,5.839955807,6.356999397,5.585151672,6.238469124,5.537043095,11.16749287,6.606933117,6.521810055,6.778431892
beta_f_bias,0.018312572,0.010877591,-0.196037164,0.024539551,-0.019157167,0.014496798,0.023419083,0.008249501,-0.004155504,0.012421216,0.017136045,0.004110786,0.056115894,0.015586978,0.044851158
beta_f_rmse,0.105385946,0.081622301,0.565683315,0.122760798,0.118260529,0.079351092,0.098000328,0.078142463,0.09450801,0.094368317,0.095380094,0.091088935,0.212917777,0.088688478,0.319487625
beta_f_real_pred,0.672386765,1.051143408,1.619331002,0.933497787,1.637195826,0.905839562,0.908200622,1.108624101,0.8234303,0.957719564,0.953128695,1.226376295,0.67495656,1.118441939,0
delta_f_bias,0.180945361,0.211097783,1.625129252,0.163295523,0.09713631,0.164535427,0.173664085,0.171207659,0.112574567,0.167190292,0.208348801,0.065269134,0.291209629,0.178070603,0.200336456
delta_f_rmse,0.370562769,0.438248184,2.538424464,0.383158765,0.403255312,0.356202672,0.368221853,0.353179005,0.378465517,0.344872168,0.40273277,0.335192768,0.607519974,0.378429214,0.43531823
delta_f_real_pred,3.650537491,4.570996761,2.259965897,4.452514172,5.56573391,4.511253357,3.956858397,4.49014473,4.632519245,4.528748512,4.915739536,4.888437271,2.632599354,5.397427559,5.434476852
theta_f_bias,0.028217789,0.014379867,-0.208843461,0.025491094,0.005736657,0.018275689,0.01190736,0.010376689,0.017750559,0.017838742,0.027007201,0.017376366,0.000560867,-0.020087598,0.00976251
theta_f_rmse,0.080064193,0.063117271,0.323719188,0.097607289,0.081150239,0.057340899,0.070734376,0.059553486,0.069267008,0.062732584,0.073915711,0.064218443,0.090803832,0.094866778,0.068971126
theta_f_real_pred,0.346375853,0.512881398,0.884065747,0.505367637,0.903080404,0.578724563,0.587104559,0.522041142,0.451536447,0.589541554,0.426869631,0.638929725,0.833438873,0.620951295,0.113624573
gamma_f_bias,-0.002359415,-0.044082194,0.016226112,-0.004826559,-0.044940138,-0.037559862,-0.009389487,-0.016081041,0.000363339,-0.005223633,0.036040205,0.003170458,0.00400339,-0.003009895,-0.010800953
gamma_f_rmse,0.10014965,0.114340114,0.172005866,0.094637152,0.153056809,0.086444216,0.093176946,0.077640898,0.086585398,0.07796629,0.106742029,0.099055365,0.09313787,0.085925843,0.085418847
gamma_f_real_pred,0,0.79613471,0.090349898,0.281821549,0.904841304,0.737803042,0.417413056,0.288596272,0.706505239,0.258099347,0.165538967,0.563513458,0.433320642,0.313815832,0.267398477
tau_bias,-0.040259946,0.238850325,0.088999251,0.038238875,-0.010262096,0.066714891,0.028731058,0.021376094,-0.050086349,0.050971946,0.004874377,-0.070810214,-0.063386858,-0.051054698,-0.000200567
tau_rmse,0.761341144,0.929316001,0.914549225,0.773773831,0.775923317,0.780136431,0.740152448,0.745703216,0.838983855,0.743490932,0.755957735,0.760639721,0.835483189,0.780783448,0.744435399
tau_real_pred,4.226635933,1.015651345,3.071218014,3.349868298,5,1,1.84727633,2.633994341,3.729903698,3.410000801,3.582339048,5,4.147556782,4.68875742,2.472775221
