,full,no moment1,no moment2,no D1,no D2,no deg,no fea mean,no fea var,no clu glo,no D1 cov,no D2 cov,no Y0,no dist,no logdegsum,no feacov
lambda_f_bias,0.018730633,-0.039232541,0.177353264,-0.024663388,0.014830639,-0.001415496,-0.013753935,0.01371459,0.00760725,-0.002841986,0.029767661,0.018020449,0.019107109,0.039056377,0.025978946
lambda_f_rmse,0.200411661,0.219270607,0.370338337,0.201590762,0.235887133,0.21779701,0.206387091,0.191393973,0.199091597,0.182425035,0.188006988,0.195728705,0.20414269,0.200511475,0.213384962
lambda_f_real_pred,-2.852638245,-2.167705774,-2.840009212,-2.598681211,-2.324383259,-2.70910573,-2.311301708,-2.608868837,-2.210078955,-2.349495173,-2.648035526,-2,-2.434580088,-2.173885345,-2.882206202
alpha_f_bias,0.106560844,-0.088692482,0.424168479,0.095885552,-0.200698481,-0.011353572,0.0738906,0.114902165,0.147222344,0.114996582,0.3014856,0.055520522,0.234317769,0.13125128,0.145369536
alpha_f_rmse,0.553007971,0.537640629,1.988520928,0.531808119,1.331090335,0.484014852,0.515287422,0.571412686,0.592058364,0.562573116,0.814409334,0.875557544,0.80323115,0.566797675,0.572800269
alpha_f_real_pred,5.601258755,8.610510826,5.080973625,6.704891205,12,7.923056602,4.070501804,6.449069977,6.990181923,6.755038738,6.05380106,11.60735893,6.652943611,6.487895966,6.383374691
beta_f_bias,0.021681141,0.020257592,-0.144338477,0.021614044,0.004394616,0.004370972,0.001601364,0.005415174,0.010543889,0.012670771,0.024566576,-0.003740992,0.088247562,0.012037622,-0.006630697
beta_f_rmse,0.095008972,0.084820748,0.560132459,0.103027461,0.107877828,0.105418894,0.111271472,0.084242638,0.082851147,0.092521323,0.087826992,0.091579966,0.221159006,0.088240025,0.32065565
beta_f_real_pred,1.015699148,1.106221557,1.837142944,0.932603002,2,1.010923862,1.2178514,1.069500446,0.871072054,0.986343741,1.049829483,1.169344664,0.398333669,1.220194817,0.041837782
delta_f_bias,0.17364437,0.222302888,1.81843433,0.1718136,0.064505372,0.176025897,0.168641178,0.152855387,0.146920845,0.191531999,0.157181796,0.054761605,0.346152979,0.207855938,0.195943551
delta_f_rmse,0.360973323,0.448451001,2.840077347,0.367950497,0.400005309,0.368449881,0.3708484,0.348729238,0.374072518,0.356426487,0.380833588,0.334588223,0.651105931,0.400887666,0.451711311
delta_f_real_pred,3.581015348,4.894146442,1.792113423,4.376634598,8.22678566,3.861611843,1.514560819,4.146179676,3.928892374,4.610757351,4.233442783,5.673573494,2.384266376,5.472822189,5.827370644
theta_f_bias,0.016809475,0.02260564,-0.276305106,0.00783037,0.00901825,0.0160657,0.023493552,0.010768183,0.024865265,0.014284816,0.022783324,0.01813218,-0.003943925,-0.010843719,0.008813361
theta_f_rmse,0.068234628,0.065779066,0.424768638,0.07490015,0.074495769,0.083636165,0.094931219,0.065137872,0.063967485,0.059760084,0.060625211,0.067314825,0.093031918,0.08657357,0.058507186
theta_f_real_pred,0.442828327,0.539868772,0.925387919,0.48188138,0.835342288,0.882221997,0.687621713,0.496480882,0.680395544,0.579918027,0.497598767,0.864691734,0.859375715,0.477132261,0.693253458
gamma_f_bias,-0.023943257,-0.059824353,0.034682666,-0.016300578,-0.013844114,-0.036131876,-0.030776902,-0.014344775,0.003992488,-0.016245884,0.016352449,0.005229867,-0.002655626,-0.004498182,-0.015121178
gamma_f_rmse,0.088329406,0.121798768,0.177181185,0.105819505,0.132531904,0.113203572,0.108210233,0.083511715,0.083492785,0.080008004,0.094887731,0.102141927,0.093871932,0.085659204,0.077219498
gamma_f_real_pred,0.174464568,0.672450721,0.027786016,0.303995371,1,1,0.416623503,0.336915314,0.437529057,0.342948854,0.153925151,0.563386858,0.625091434,0.19071795,0.265955508
tau_bias,0.032108685,0.248114264,0.078093322,0.091863449,-0.087613307,0.094991226,0.058855362,0.009147064,-0.044849947,0.05154078,-0.046420954,-0.101529429,-0.098083049,-0.030737391,-0.001385723
tau_rmse,0.767112171,0.934206847,0.945860482,0.744189043,0.765218548,0.78240884,0.750412814,0.762366072,0.821042305,0.753391336,0.744869105,0.774893961,0.831202685,0.787148375,0.741644465
tau_real_pred,3.8625741,1.29639852,4.020530701,3.895891666,2.078629017,1,2.371960878,3.923601389,3.172803164,2.350137472,3.692542076,5,5,2.800379753,1.955319405
