,full,no moment1,no moment2,no D1,no D2,no deg,no fea mean,no fea var,no clu glo,no D1 cov,no D2 cov,no Y0,no dist,no logdegsum,no feacov
lambda_f_bias,0.018730632837951847,-0.03923254102832013,0.1773532637917406,-0.024663388077079584,0.014830638583839605,-0.001415495816528133,-0.013753935161887935,0.013714589890182684,0.007607249911964604,-0.002841985765754512,0.02976766103142566,0.018020449336708256,0.019107109006584355,0.039056376632393065,0.02597894626492328
lambda_f_rmse,0.200411661040621,0.21927060686937913,0.3703383365557054,0.201590762219616,0.2358871334109944,0.21779700952551598,0.2063870913621397,0.1913939727458334,0.1990915971173789,0.18242503530590234,0.1880069882403258,0.19572870463712236,0.20414269043963898,0.20051147493764057,0.21338496171006538
lambda_f_real_pred,-2.8526382446289062,-2.167705774307251,-2.8400092124938965,-2.5986812114715576,-2.32438325881958,-2.7091057300567627,-2.3113017082214355,-2.6088688373565674,-2.2100789546966553,-2.3494951725006104,-2.6480355262756348,-2.0,-2.434580087661743,-2.1738853454589844,-2.8822062015533447
alpha_f_bias,0.10656084381535513,-0.08869248188540477,0.42416847916439043,0.09588555156186086,-0.20069848073527352,-0.011353572497816253,0.07389060031369192,0.11490216504528981,0.14722234355404837,0.11499658214047415,0.30148559962704646,0.05552052151158316,0.23431776939824087,0.13125127970173822,0.14536953603222832
alpha_f_rmse,0.5530079707159327,0.5376406293844207,1.9885209283124408,0.5318081189306685,1.3310903351616354,0.48401485226389956,0.5152874220202743,0.5714126856036001,0.5920583642363468,0.5625731156882899,0.8144093335797812,0.8755575438005959,0.8032311501936877,0.5667976754440465,0.5728002689089372
alpha_f_real_pred,5.601258754730225,8.61051082611084,5.0809736251831055,6.704891204833984,12.0,7.923056602478027,4.070501804351807,6.449069976806641,6.990181922912598,6.755038738250732,6.0538010597229,11.607358932495117,6.6529436111450195,6.487895965576172,6.3833746910095215
beta_f_bias,0.02168114058674504,0.020257591895770328,-0.144338476821769,0.021614043518912093,0.004394615620385901,0.004370972298096911,0.0016013641432039893,0.005415174245845572,0.010543888844560879,0.012670770965527791,0.024566575955610768,-0.0037409916147477466,0.0882475624010079,0.012037622153770225,-0.0066306971236951215
beta_f_rmse,0.09500897202853878,0.08482074783227102,0.5601324591586327,0.10302746106146302,0.10787782807956094,0.10541889352357793,0.11127147206027163,0.08424263767727529,0.08285114662378912,0.09252132265762819,0.08782699230171429,0.09157996631539764,0.2211590056156162,0.0882400254335955,0.32065564999345897
beta_f_real_pred,1.0156991481781006,1.1062215566635132,1.8371429443359375,0.9326030015945435,2.0,1.0109238624572754,1.2178514003753662,1.06950044631958,0.8710720539093018,0.9863437414169312,1.0498294830322266,1.1693446636199951,0.39833366870880127,1.2201948165893555,0.04183778166770935
delta_f_bias,0.17364436985994405,0.2223028883754713,1.8184343303858739,0.17181360000814028,0.06450537237967079,0.1760258972838027,0.16864117777789658,0.15285538675333088,0.14692084497655458,0.1915319985344512,0.15718179551954098,0.054761605252276115,0.34615297928894584,0.20785593842412062,0.19594355082953996
delta_f_rmse,0.3609733230208444,0.44845100101406493,2.8400773467304203,0.36795049713428574,0.40000530935766937,0.3684498811567973,0.3708484002102705,0.34872923822536467,0.37407251849147,0.35642648663394,0.3808335882738599,0.334588223347624,0.6511059307577193,0.40088766626857386,0.45171131108822365
delta_f_real_pred,3.5810153484344482,4.89414644241333,1.7921134233474731,4.37663459777832,8.226785659790039,3.861611843109131,1.5145608186721802,4.146179676055908,3.9288923740386963,4.610757350921631,4.233442783355713,5.6735734939575195,2.3842663764953613,5.472822189331055,5.827370643615723
theta_f_bias,0.016809475310018418,0.02260563961403644,-0.2763051063196155,0.007830369524529335,0.009018250040581582,0.016065700471272825,0.023493552189191937,0.010768183279654142,0.024865264974406123,0.014284816034009811,0.02278332415955341,0.018132180470844864,-0.003943925470242145,-0.010843718886503819,0.008813361093273518
theta_f_rmse,0.06823462771810208,0.06577906576907717,0.4247686376920241,0.07490015045099772,0.07449576902135345,0.08363616529527662,0.09493121880196287,0.06513787164861541,0.06396748533284996,0.059760084057902806,0.06062521100332835,0.06731482544131165,0.09303191834671513,0.08657357039352341,0.058507186383132036
theta_f_real_pred,0.44282832741737366,0.5398687720298767,0.9253879189491272,0.48188138008117676,0.835342288017273,0.8822219967842102,0.6876217126846313,0.49648088216781616,0.6803955435752869,0.5799180269241333,0.4975987672805786,0.8646917343139648,0.8593757152557373,0.47713226079940796,0.6932534575462341
gamma_f_bias,-0.02394325706345954,-0.05982435346750536,0.03468266586976132,-0.016300578094851158,-0.013844113886188647,-0.03613187647058622,-0.030776901634242317,-0.014344774655830048,0.003992487684059956,-0.016245884086769007,0.016352448832411392,0.00522986655699096,-0.0026556255741230464,-0.00449818237109103,-0.015121177796106718
gamma_f_rmse,0.08832940582074543,0.12179876805273919,0.17718118544214864,0.10581950526816612,0.13253190440428508,0.1132035722644063,0.10821023318209959,0.0835117153265415,0.08349278460639548,0.0800080038376298,0.0948877310067129,0.10214192667579657,0.09387193183326653,0.08565920402694868,0.07721949786619953
gamma_f_real_pred,0.17446456849575043,0.6724507212638855,0.0277860164642334,0.30399537086486816,1.0,1.0,0.4166235029697418,0.3369153141975403,0.437529057264328,0.342948853969574,0.15392515063285828,0.563386857509613,0.6250914335250854,0.19071795046329498,0.26595550775527954
tau_bias,0.032108684608940015,0.24811426445305718,0.0780933221524991,0.09186344949365034,-0.0876133072131835,0.09499122587800397,0.0588553620672263,0.009147063682083026,-0.04484994705557452,0.05154077998757734,-0.04642095386027919,-0.10152942933678255,-0.09808304912387954,-0.030737391194101443,-0.0013857229256592856
tau_rmse,0.7671121706275194,0.9342068471476358,0.9458604824756772,0.7441890433047099,0.765218547604945,0.782408840299251,0.7504128139721826,0.7623660716206622,0.8210423048115842,0.7533913362803757,0.7448691054079962,0.7748939614713488,0.8312026848075084,0.7871483754820512,0.7416444653620448
tau_real_pred,3.8625741004943848,1.2963985204696655,4.020530700683594,3.8958916664123535,2.0786290168762207,1.0,2.3719608783721924,3.9236013889312744,3.1728031635284424,2.35013747215271,3.69254207611084,5.0,5.0,2.800379753112793,1.9553194046020508
