,full,no moment1,no moment2,no D1,no D2,no deg,no fea mean,no fea var,no clu glo,no D1 cov,no D2 cov,no Y0,no dist,no logdegsum,no feacov
lambda_f_bias,0.022621651347816654,-0.006637521926223569,0.20684674721592733,0.01089983266228504,0.033434369977653686,0.001574999507606694,0.022284294303596686,0.008867455419243046,0.016622886952102848,0.0070151591860658615,0.012318665798843572,0.007834306534469792,0.015703679617584412,0.025253789600074954,0.0059518586956865275
lambda_f_rmse,0.18798310994795744,0.21933342954213672,0.3998627319603747,0.18272558214913362,0.23217102351688967,0.20472657623365537,0.21821058737207819,0.1885875456077567,0.21467841062817702,0.198793080984999,0.20824847733423907,0.19385546654910532,0.204405964526565,0.2063178169674504,0.2102008631399737
lambda_f_real_pred,-2.4956841468811035,-2.1717562675476074,-2.8226332664489746,-2.2933857440948486,-2.9332401752471924,-2.0,-2.0,-2.325005531311035,-2.8743796348571777,-2.4814929962158203,-2.332904100418091,-2.0,-2.6278076171875,-2.0,-3.0
alpha_f_bias,0.1361434153218554,-0.09324192930266398,0.4058633164067553,0.13096948825314506,-0.07511309302851694,0.02891582452252371,0.03229087697461111,0.11145605145886404,0.1295939022202776,0.10926166855290395,0.25849965440228445,-0.024988871822805576,0.25124854551747305,0.179285030712633,0.13033332954838736
alpha_f_rmse,0.5800477724228222,0.5611680172026956,2.0471216918965296,0.5803179666348592,1.3840975418028139,0.5177063722137296,0.47499826987661076,0.5482627420357051,0.551823232259431,0.5535409895184976,0.7942260995721013,0.8464061142518636,0.7733376641086902,0.630108100004733,0.5714391072284235
alpha_f_real_pred,6.122190475463867,8.282486915588379,6.510075092315674,6.415759563446045,12.0,9.082784652709961,4.658672332763672,6.227555274963379,6.005092620849609,6.648176193237305,5.449673175811768,12.0,6.849009990692139,6.612395286560059,6.700953483581543
beta_f_bias,0.0001520901695006056,0.009480551563214557,-0.13965287549792602,0.009496829755615489,-0.0020224151611215914,0.020144341699790257,0.029118628612265038,0.008013730827730194,0.01772278739513089,0.009017696119856134,0.02345262545348336,-0.015598370172072155,0.0770156243965142,0.008553221657883423,0.011861674554657234
beta_f_rmse,0.07946348682890224,0.08399594828594469,0.5469542435346545,0.09246043841496977,0.11703105308384579,0.08744268688590913,0.10579530586034214,0.08544667333435049,0.0914118490800639,0.09758921317494765,0.10332886262934142,0.09554576572664435,0.2251497950625684,0.09144505234807317,0.31362470978657
beta_f_real_pred,0.9504414200782776,1.1947113275527954,1.7947033643722534,0.9322634935379028,1.7412961721420288,1.1198794841766357,0.0,1.1331199407577515,0.5160770416259766,0.914639949798584,0.8965370655059814,1.4956374168395996,0.2962453365325928,1.1100184917449951,0.0
delta_f_bias,0.18534357311273641,0.23702971922303262,1.8981047028496367,0.1882952128841979,0.0726244916513068,0.17779028864646979,0.18536899620736666,0.18272568949009008,0.16273897403920715,0.16518033644999094,0.18563424712861604,0.05382219565356796,0.3368028585656983,0.13555055246199194,0.19498859808291025
delta_f_rmse,0.3530739585718388,0.45603756589618344,2.9685855391373575,0.3599234020522583,0.3897205884529348,0.37109900244654986,0.3797844931634802,0.35249450383434333,0.3976513254551573,0.3449896842241873,0.3889564681470818,0.3317761216552576,0.6436202418729033,0.37731086028065,0.4418933227611829
delta_f_real_pred,3.9534695148468018,4.909470558166504,1.9195796251296997,4.4086809158325195,6.598270416259766,4.632779598236084,2.0058960914611816,4.521317481994629,4.3943915367126465,4.166894912719727,4.196815490722656,5.831388473510742,2.0034399032592773,4.768251419067383,5.206575870513916
theta_f_bias,0.0218946582003144,0.018448953330388426,-0.29989400919539655,0.0036758705972341275,0.025767607547214386,0.009858774758746981,0.007731709502508996,0.017243978988250853,0.01934952512370622,0.01231408644082224,0.028559446371963382,0.019431578837206722,-0.01680232149375403,0.005218136213591455,0.013272240742912647
theta_f_rmse,0.06256925745835545,0.06500813252290563,0.46045038499546803,0.06029698079943608,0.08237512639089141,0.06880106778836671,0.07593425486072858,0.06185109475825131,0.0701981035367792,0.067923474641403,0.08441744217493527,0.06501163122366678,0.10265956092453841,0.08972174719080775,0.06269469600317235
theta_f_real_pred,0.569548487663269,0.5669505000114441,0.8364637494087219,0.5513502359390259,0.7527682185173035,0.5525701642036438,0.0,0.516434907913208,0.5983759760856628,0.5716274976730347,0.4686936140060425,0.7471418380737305,0.9026671648025513,0.5477807521820068,0.69924396276474
gamma_f_bias,-0.012715922456066987,-0.05907213476655998,0.04042195744084201,-0.013772227115761421,-0.02496537303162732,-0.038959094174038554,-0.031732047383971444,-0.017541297226976536,0.0003778381200321699,-0.012143556326460025,0.006181726508010247,-0.0036668943463078964,-0.016009422596376326,0.01133264939503751,-0.017752536468040134
gamma_f_rmse,0.08465437373791164,0.12123682659588098,0.17720213567402934,0.07904885321897678,0.1413616204216233,0.09189355071491803,0.11374545102155992,0.07435672357785694,0.08602177817073237,0.08298335466723925,0.10461228076742327,0.09748462462932392,0.0882215568909438,0.10669038076408689,0.07718031532876332
gamma_f_real_pred,0.27691298723220825,0.6982752680778503,0.04089188575744629,0.34905049204826355,1.0,0.834112823009491,0.0,0.32675349712371826,0.0,0.3238213062286377,0.111005999147892,0.569980263710022,0.5352014303207397,0.2828662097454071,0.26605379581451416
tau_bias,0.005844888547662627,0.1762211862301864,0.031680179337266814,0.0018195296025313255,-0.030030261089798074,0.07926558522344007,0.016059494981769454,-0.0027176412248574363,-0.036621448030468094,0.07671272555947675,0.014614456871751681,-0.09638209243654833,-0.11770942605822907,-0.0326428368294202,-0.007268001666065319
tau_rmse,0.7661635656517622,0.9280647118968851,0.94423630264483,0.7383388725778467,0.78349745872646,0.7963638421836134,0.7756349422443266,0.7310958387220671,0.8147010687636722,0.7552120414048749,0.7479069414816706,0.7659536464674715,0.853923297175925,0.786758504652829,0.7560008004840025
tau_real_pred,4.082718849182129,1.0,2.950063705444336,3.3319108486175537,5.0,1.9936838150024414,1.0,2.3955111503601074,3.379577875137329,3.4255785942077637,2.053309440612793,5.0,5.0,3.263803243637085,2.1148016452789307
