,full,no moment1,no moment2,no D1,no D2,no deg,no fea mean,no fea var,no clu glo,no D1 cov,no D2 cov,no Y0,no dist,no logdegsum,no feacov
lambda_f_bias,0.03881696945065326,-0.02657974988585644,0.14648651045197317,0.022931878741920656,0.019027816947639654,0.010635261472404667,0.01763449662560291,-0.0010196618474119221,0.017950707968414494,0.023384831484497257,0.041335401352585024,0.013967057164848517,0.017270217117012213,0.05547822433346577,0.029083981689155762
lambda_f_rmse,0.20193148323615748,0.21743202128913136,0.328823808090328,0.22181649997929814,0.25109918755493116,0.19151837147631773,0.20333832483755368,0.18725244719907133,0.21589886348236229,0.19059279877112228,0.19628388813436512,0.19308947988879852,0.19827259247294987,0.2007660932468574,0.2215582904635659
lambda_f_real_pred,-2.694267988204956,-2.175591230392456,-3.0,-2.450150728225708,-2.4084954261779785,-2.0,-2.432245969772339,-2.3050599098205566,-2.0,-2.3860368728637695,-2.0,-2.09713077545166,-2.5054025650024414,-2.838606834411621,-3.0
alpha_f_bias,0.10716946135952932,-0.08269652427241343,0.1664116860230253,0.11803017007306081,-0.16359694848463074,0.008671423306016753,0.11598537455990773,0.11957742892697316,0.17811671887829764,0.14612137590840324,0.2873710859914111,-0.033719390521497895,0.25334797107174856,0.14414698635533318,0.09767541729405385
alpha_f_rmse,0.5423150256377228,0.5602736271983487,1.964005874088689,0.539768098615954,1.4163218231895847,0.5107946845294964,0.5390317868902782,0.5617065993177446,0.5993582558346291,0.5670097565645038,0.8139318803245708,0.9036884114219194,0.7841597040736358,0.6096255974743988,0.5220339488998851
alpha_f_real_pred,6.434723854064941,8.849308013916016,5.720421314239502,6.454172611236572,12.0,8.78365421295166,5.839955806732178,6.356999397277832,5.585151672363281,6.238469123840332,5.53704309463501,11.167492866516113,6.606933116912842,6.521810054779053,6.7784318923950195
beta_f_bias,0.018312571570288434,0.010877591252338187,-0.19603716434537244,0.02453955096007516,-0.019157167032349806,0.014496798485528723,0.023419082514952914,0.00824950084836413,-0.004155503571022256,0.012421215787541169,0.017136044964205517,0.004110786378394858,0.05611589350552489,0.015586978092800872,0.044851158410321966
beta_f_rmse,0.10538594612755328,0.08162230111698889,0.5656833151515843,0.12276079842238165,0.1182605290755819,0.07935109151923751,0.0980003281411495,0.07814246326223946,0.09450800988661408,0.09436831706488003,0.09538009414690417,0.0910889350753351,0.21291777652181149,0.08868847824338019,0.3194876253043012
beta_f_real_pred,0.6723867654800415,1.0511434078216553,1.6193310022354126,0.9334977865219116,1.6371958255767822,0.9058395624160767,0.9082006216049194,1.1086241006851196,0.8234302997589111,0.9577195644378662,0.9531286954879761,1.2263762950897217,0.6749565601348877,1.1184419393539429,0.0
delta_f_bias,0.18094536078418322,0.2110977825268609,1.6251292523636918,0.16329552254522867,0.09713630962813918,0.16453542723203726,0.17366408452833718,0.17120765887642928,0.11257456675613944,0.16719029175932235,0.20834880134905404,0.0652691336020333,0.2912096293463809,0.17807060255552357,0.20033645627344673
delta_f_rmse,0.37056276867029914,0.43824818407850213,2.5384244638865137,0.38315876483801775,0.4032553122651553,0.35620267228396246,0.36822185269045365,0.353179005488692,0.3784655170555951,0.34487216798450004,0.402732770207429,0.33519276842778295,0.607519973611548,0.37842921446270683,0.43531823003766634
delta_f_real_pred,3.6505374908447266,4.5709967613220215,2.2599658966064453,4.452514171600342,5.565733909606934,4.511253356933594,3.9568583965301514,4.490144729614258,4.632519245147705,4.528748512268066,4.9157395362854,4.888437271118164,2.632599353790283,5.397427558898926,5.434476852416992
theta_f_bias,0.028217789076140285,0.014379866731224713,-0.20884346145404303,0.025491093823557853,0.00573665689664161,0.01827568915846026,0.011907360158732293,0.010376688852777836,0.017750558532646055,0.017838742449751258,0.02700720134550905,0.01737636616440689,0.0005608674435523723,-0.020087597973773123,0.009762509859969971
theta_f_rmse,0.08006419344681058,0.06311727131938666,0.32371918847694797,0.09760728865207839,0.08115023874102881,0.0573408986880706,0.07073437618212995,0.05955348618215344,0.06926700779880145,0.06273258443090156,0.07391571133019836,0.06421844286714243,0.09080383187206632,0.09486677804356616,0.0689711262850669
theta_f_real_pred,0.34637585282325745,0.5128813982009888,0.8840657472610474,0.505367636680603,0.903080403804779,0.5787245631217957,0.5871045589447021,0.5220411419868469,0.4515364468097687,0.5895415544509888,0.42686963081359863,0.6389297246932983,0.8334388732910156,0.6209512948989868,0.11362457275390625
gamma_f_bias,-0.002359414748679779,-0.04408219432441511,0.01622611170278869,-0.004826558958571337,-0.04494013754261651,-0.03755986193923273,-0.009389487154614113,-0.01608104076219716,0.0003633385227807543,-0.005223633024673842,0.03604020502621314,0.003170457981694558,0.00400339017825208,-0.0030098952574841,-0.010800952583383702
gamma_f_rmse,0.10014964995650003,0.11434011397208114,0.17200586612743,0.09463715182585855,0.15305680938084554,0.08644421555856799,0.09317694592410578,0.07764089771218893,0.08658539813940538,0.07796628970083798,0.10674202936065175,0.09905536453858103,0.09313787011296272,0.08592584282746668,0.08541884689182501
gamma_f_real_pred,0.0,0.7961347103118896,0.09034989774227142,0.2818215489387512,0.9048413038253784,0.737803041934967,0.41741305589675903,0.2885962724685669,0.7065052390098572,0.25809934735298157,0.1655389666557312,0.563513457775116,0.43332064151763916,0.3138158321380615,0.267398476600647
tau_bias,-0.04025994550227748,0.23885032526612657,0.08899925146460905,0.0382388748472966,-0.010262095710035434,0.06671489136875047,0.028731057564023863,0.02137609418690575,-0.05008634873270617,0.05097194583177937,0.0048743773198164815,-0.07081021421193705,-0.06338685824513064,-0.05105469757854567,-0.00020056732534991362
tau_rmse,0.7613411439667863,0.9293160009486632,0.9145492245328551,0.773773831233881,0.7759233171212763,0.780136431489642,0.7401524479998244,0.7457032158239589,0.8389838550565295,0.7434909317588323,0.7559577347883732,0.760639721452835,0.8354831891384327,0.780783448400173,0.7444353987544227
tau_real_pred,4.226635932922363,1.0156513452529907,3.0712180137634277,3.3498682975769043,5.0,1.0,1.8472763299942017,2.6339943408966064,3.7299036979675293,3.410000801086426,3.58233904838562,5.0,4.147556781768799,4.688757419586182,2.4727752208709717
